* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
609933, GALE , Network 2 , District , Traditional , ROGERS PARK , 302 , 17 ,5.6%, 166 ,55.0%, - ,0.0%, - ,0.0%, 91 ,30.1%, 6 ,2.0%, 20 ,6.6%, - ,0.0%, 2 ,0.7%
610009, GALILEO , Network 6 , District , Traditional , NEAR WEST SIDE , 533 , 60 ,11.3%, 136 ,25.5%, - ,0.0%, 1 ,0.2%, 295 ,55.3%, 23 ,4.3%, 16 ,3.0%, 2 ,0.4%, - ,0.0%
609935, GALLISTEL , Network 13 , District , Traditional , EAST SIDE , 607 , 8 ,1.3%, 33 ,5.4%, - ,0.0%, 1 ,0.2%, 564 ,92.9%, - ,0.0%, 1 ,0.2%, - ,0.0%, - ,0.0%
610128, GARVEY , Network 13 , District , Traditional , WASHINGTON HEIGHTS , 238 , - ,0.0%, 231 ,97.1%, - ,0.0%, - ,0.0%, 6 ,2.5%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
609937, GARVY , Network 1 , District , Traditional , NORWOOD PARK , 741 , 371 ,50.1%, 13 ,1.8%, - ,0.0%, 1 ,0.1%, 272 ,36.7%, 20 ,2.7%, 53 ,7.2%, 11 ,1.5%, - ,0.0%
609938, GARY , Network 7 , District , Traditional , SOUTH LAWNDALE , 718 , 2 ,0.3%, 3 ,0.4%, - ,0.0%, 1 ,0.1%, 710 ,98.9%, - ,0.0%, 2 ,0.3%, - ,0.0%, - ,0.0%
609939, GILLESPIE , Network 12 , District , Traditional , ROSELAND , 350 , - ,0.0%, 335 ,95.7%, - ,0.0%, 1 ,0.3%, 13 ,3.7%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
400009, GLOBAL CITIZENSHIP , Charter , Charter , Traditional , GARFIELD RIDGE , 480 , 15 ,3.1%, 13 ,2.7%, - ,0.0%, 2 ,0.4%, 442 ,92.1%, 1 ,0.2%, - ,0.0%, 2 ,0.4%, 5 ,1.0%
609942, GOETHE , Network 4 , District , Traditional , LOGAN SQUARE , 724 , 155 ,21.4%, 44 ,6.1%, - ,0.0%, 4 ,0.6%, 466 ,64.4%, 27 ,3.7%, 18 ,2.5%, - ,0.0%, 10 ,1.4%
610558, GOODE HS , Network 16 , District , Traditional , ASHBURN , 955 , 5 ,0.5%, 299 ,31.3%, - ,0.0%, 1 ,0.1%, 647 ,67.7%, 1 ,0.1%, - ,0.0%, 2 ,0.2%, - ,0.0%
609945, GOUDY , Network 2 , District , Traditional , UPTOWN , 531 , 39 ,7.3%, 151 ,28.4%, - ,0.0%, 2 ,0.4%, 170 ,32.0%, 18 ,3.4%, 149 ,28.1%, 1 ,0.2%, 1 ,0.2%
609947, GRAHAM ES , Network 6 , District , Traditional , NEW CITY , 299 , 76 ,25.4%, 69 ,23.1%, - ,0.0%, - ,0.0%, 150 ,50.2%, 3 ,1.0%, 1 ,0.3%, - ,0.0%, - ,0.0%
609769, GRAHAM HS , Network 14 , District , Specialty , NEAR SOUTH SIDE , 255 , 9 ,3.5%, 93 ,36.5%, - ,0.0%, 3 ,1.2%, 136 ,53.3%, 2 ,0.8%, 11 ,4.3%, 1 ,0.4%, - ,0.0%
609949, GRAY , Network 1 , District , Traditional , PORTAGE PARK , 999 , 95 ,9.5%, 25 ,2.5%, - ,0.0%, 5 ,0.5%, 833 ,83.4%, 12 ,1.2%, 22 ,2.2%, 2 ,0.2%, 5 ,0.5%
400168, GREAT LAKES , Charter , Charter , Traditional , SOUTH CHICAGO , 537 , 2 ,0.4%, 489 ,91.1%, - ,0.0%, 1 ,0.2%, 38 ,7.1%, 7 ,1.3%, - ,0.0%, - ,0.0%, - ,0.0%
609850, GREELEY , Network 4 , District , Traditional , LAKE VIEW , 453 , 32 ,7.1%, 78 ,17.2%, - ,0.0%, - ,0.0%, 315 ,69.5%, 9 ,2.0%, 19 ,4.2%, - ,0.0%, - ,0.0%
610032, GREEN , Network 11 , District , Traditional , WASHINGTON HEIGHTS , 302 , 3 ,1.0%, 289 ,95.7%, - ,0.0%, 1 ,0.3%, 7 ,2.3%, 2 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
609952, GREENE , Network 8 , District , Traditional , MCKINLEY PARK , 312 , 11 ,3.5%, 18 ,5.8%, - ,0.0%, - ,0.0%, 260 ,83.3%, 1 ,0.3%, 22 ,7.1%, - ,0.0%, - ,0.0%
609954, GREGORY , Network 5 , District , Traditional , EAST GARFIELD PARK , 238 , 1 ,0.4%, 230 ,96.6%, - ,0.0%, - ,0.0%, 7 ,2.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609955, GRESHAM , Network 11 , District , Traditional , AUBURN GRESHAM , 325 , - ,0.0%, 315 ,96.9%, - ,0.0%, - ,0.0%, 10 ,3.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609956, GRIMES , Network 10 , District , Traditional , CLEARING , 369 , 27 ,7.3%, 8 ,2.2%, - ,0.0%, - ,0.0%, 333 ,90.2%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
609944, GRISSOM , Network 13 , District , Traditional , HEGEWISCH , 290 , 20 ,6.9%, 40 ,13.8%, - ,0.0%, - ,0.0%, 228 ,78.6%, 1 ,0.3%, 1 ,0.3%, - ,0.0%, - ,0.0%
609958, GUNSAULUS , ISP , District , Traditional , BRIGHTON PARK , 670 , 13 ,1.9%, 11 ,1.6%, - ,0.0%, - ,0.0%, 623 ,93.0%, 4 ,0.6%, 14 ,2.1%, - ,0.0%, 5 ,0.7%
609959, HAINES , Network 6 , District , Traditional , ARMOUR SQUARE , 480 , 3 ,0.6%, 55 ,11.5%, - ,0.0%, 1 ,0.2%, 20 ,4.2%, 1 ,0.2%, 400 ,83.3%, - ,0.0%, - ,0.0%
609960, HALE , Network 10 , District , Traditional , CLEARING , 769 , 93 ,12.1%, 40 ,5.2%, - ,0.0%, 2 ,0.3%, 623 ,81.0%, 2 ,0.3%, 5 ,0.7%, 4 ,0.5%, - ,0.0%
609808, HALEY , Network 13 , District , Traditional , ROSELAND , 448 , 3 ,0.7%, 413 ,92.2%, - ,0.0%, - ,0.0%, 31 ,6.9%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
609963, HAMILTON , Network 4 , District , Traditional , LAKE VIEW , 483 , 342 ,70.8%, 18 ,3.7%, - ,0.0%, - ,0.0%, 63 ,13.0%, 42 ,8.7%, 17 ,3.5%, 1 ,0.2%, - ,0.0%
609964, HAMLINE , Network 8 , District , Traditional , NEW CITY , 574 , 5 ,0.9%, 36 ,6.3%, - ,0.0%, 1 ,0.2%, 530 ,92.3%, 2 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
609966, HAMMOND , Network 7 , District , Traditional , SOUTH LAWNDALE , 224 , 2 ,0.9%, 24 ,10.7%, - ,0.0%, - ,0.0%, 195 ,87.1%, 3 ,1.3%, - ,0.0%, - ,0.0%, - ,0.0%
609807, HAMPTON , Network 10 , District , Traditional , ASHBURN , 436 , 5 ,1.1%, 186 ,42.7%, - ,0.0%, 3 ,0.7%, 237 ,54.4%, 3 ,0.7%, - ,0.0%, - ,0.0%, 2 ,0.5%
609694, HANCOCK HS , Network 15 , District , Traditional , CLEARING ," 1,028 ", 67 ,6.5%, 13 ,1.3%, - ,0.0%, 1 ,0.1%, 923 ,89.8%, 2 ,0.2%, 9 ,0.9%, 1 ,0.1%, 12 ,1.2%
610068, HANSON PARK , Network 3 , District , Traditional , BELMONT CRAGIN ," 1,136 ", 14 ,1.2%, 28 ,2.5%, - ,0.0%, 6 ,0.5%," 1,082 ",95.2%, 3 ,0.3%, 2 ,0.2%, 1 ,0.1%, - ,0.0%
609710, HARLAN HS , Network 17 , District , Traditional , ROSELAND , 205 , - ,0.0%, 192 ,93.7%, - ,0.0%, - ,0.0%, 11 ,5.4%, 2 ,1.0%, - ,0.0%, - ,0.0%, - ,0.0%
609969, HARTE , Network 9 , District , Traditional , HYDE PARK , 352 , 9 ,2.6%, 283 ,80.4%, - ,0.0%, - ,0.0%, 43 ,12.2%, 9 ,2.6%, 3 ,0.9%, 1 ,0.3%, 4 ,1.1%
609971, HARVARD , Network 11 , District , Traditional , GREATER GRAND CROSSING , 357 , - ,0.0%, 338 ,94.7%, - ,0.0%, - ,0.0%, 19 ,5.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609972, HAUGAN , ISP , District , Traditional , ALBANY PARK , 987 , 61 ,6.2%, 34 ,3.4%, - ,0.0%, 6 ,0.6%, 836 ,84.7%, 7 ,0.7%, 41 ,4.2%, - ,0.0%, 2 ,0.2%
609974, HAWTHORNE , Network 4 , District , Traditional , LAKE VIEW , 619 , 330 ,53.3%, 24 ,3.9%, - ,0.0%, 2 ,0.3%, 131 ,21.2%, 50 ,8.1%, 81 ,13.1%, - ,0.0%, 1 ,0.2%
609975, HAY , Network 3 , District , Traditional , AUSTIN , 254 , 2 ,0.8%, 192 ,75.6%, - ,0.0%, - ,0.0%, 57 ,22.4%, 2 ,0.8%, 1 ,0.4%, - ,0.0%, - ,0.0%
609976, HAYT , Network 2 , District , Traditional , EDGEWATER , 850 , 86 ,10.1%, 166 ,19.5%, - ,0.0%, 8 ,0.9%, 355 ,41.8%, 31 ,3.6%, 202 ,23.8%, 2 ,0.2%, - ,0.0%
609979, HEALY , Network 6 , District , Traditional , BRIDGEPORT ," 1,206 ", 66 ,5.5%, 37 ,3.1%, - ,0.0%, 1 ,0.1%, 186 ,15.4%, 11 ,0.9%, 902 ,74.8%, 3 ,0.2%, - ,0.0%
609981, HEARST , Network 10 , District , Traditional , GARFIELD RIDGE , 305 , 7 ,2.3%, 94 ,30.8%, - ,0.0%, 1 ,0.3%, 200 ,65.6%, 1 ,0.3%, 2 ,0.7%, - ,0.0%, - ,0.0%
609983, HEDGES , Network 8 , District , Traditional , NEW CITY , 480 , 6 ,1.3%, 3 ,0.6%, - ,0.0%, - ,0.0%, 469 ,97.7%, - ,0.0%, 1 ,0.2%, - ,0.0%, 1 ,0.2%
609985, HEFFERAN , Network 5 , District , Traditional , WEST GARFIELD PARK , 175 , 3 ,1.7%, 159 ,90.9%, - ,0.0%, - ,0.0%, 12 ,6.9%, 1 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
609986, HENDERSON , Network 8 , District , Traditional , WEST ENGLEWOOD , 232 , 4 ,1.7%, 120 ,51.7%, - ,0.0%, - ,0.0%, 107 ,46.1%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.4%
609987, HENDRICKS , Network 9 , District , Traditional , FULLER PARK , 183 , 1 ,0.5%, 168 ,91.8%, - ,0.0%, - ,0.0%, 13 ,7.1%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
609988, HENRY , Network 1 , District , Traditional , IRVING PARK , 430 , 26 ,6.0%, 12 ,2.8%, - ,0.0%, 4 ,0.9%, 370 ,86.0%, 1 ,0.2%, 15 ,3.5%, - ,0.0%, 2 ,0.5%
610532, HERNANDEZ , ISP , District , Traditional , GAGE PARK , 751 , 5 ,0.7%, 13 ,1.7%, - ,0.0%, 2 ,0.3%, 731 ,97.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609991, HERZL , Network 7 , District , Traditional , NORTH LAWNDALE , 424 , 3 ,0.7%, 398 ,93.9%, - ,0.0%, - ,0.0%, 16 ,3.8%, 1 ,0.2%, - ,0.0%, - ,0.0%, 6 ,1.4%
609994, HIBBARD , Network 1 , District , Traditional , ALBANY PARK , 912 , 73 ,8.0%, 39 ,4.3%, - ,0.0%, 8 ,0.9%, 730 ,80.0%, 7 ,0.8%, 54 ,5.9%, 1 ,0.1%, - ,0.0%
610295, HIGGINS , Network 13 , District , Traditional , WEST PULLMAN , 278 , - ,0.0%, 256 ,92.1%, - ,0.0%, - ,0.0%, 21 ,7.6%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.4%
609712, HIRSCH HS , Network 17 , District , Traditional , GREATER GRAND CROSSING , 104 , - ,0.0%, 94 ,90.4%, - ,0.0%, - ,0.0%, 6 ,5.8%, - ,0.0%, - ,0.0%, - ,0.0%, 4 ,3.8%
609995, HITCH , Network 1 , District , Traditional , NORWOOD PARK , 504 , 172 ,34.1%, 17 ,3.4%, - ,0.0%, 2 ,0.4%, 251 ,49.8%, 21 ,4.2%, 36 ,7.1%, - ,0.0%, 5 ,1.0%
609996, HOLDEN , ISP , District , Traditional , BRIDGEPORT , 432 , 79 ,18.3%, 49 ,11.3%, - ,0.0%, - ,0.0%, 245 ,56.7%, 5 ,1.2%, 53 ,12.3%, - ,0.0%, 1 ,0.2%
609997, HOLMES , Network 8 , District , Traditional , ENGLEWOOD , 129 , 1 ,0.8%, 113 ,87.6%, - ,0.0%, - ,0.0%, 15 ,11.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400167, HORIZON - SOUTHWEST , Charter , Charter , Traditional , GAGE PARK , 766 , 16 ,2.1%, 198 ,25.8%, - ,0.0%, - ,0.0%, 551 ,71.9%, 1 ,0.1%, - ,0.0%, - ,0.0%, - ,0.0%
610000, HOWE , Network 3 , District , Traditional , AUSTIN , 357 , 4 ,1.1%, 305 ,85.4%, - ,0.0%, - ,0.0%, 47 ,13.2%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610002, HOYNE , Network 12 , District , Traditional , CALUMET HEIGHTS , 250 , - ,0.0%, 239 ,95.6%, - ,0.0%, - ,0.0%, 6 ,2.4%, 5 ,2.0%, - ,0.0%, - ,0.0%, - ,0.0%
609741, HUBBARD HS , Network 16 , District , Traditional , WEST LAWN ," 1,673 ", 24 ,1.4%, 63 ,3.8%, - ,0.0%, 6 ,0.4%," 1,576 ",94.2%, 3 ,0.2%, - ,0.0%, - ,0.0%, 1 ,0.1%
610005, HUGHES C , Network 7 , District , Traditional , NORTH LAWNDALE , 156 , - ,0.0%, 129 ,82.7%, - ,0.0%, - ,0.0%, 18 ,11.5%, - ,0.0%, - ,0.0%, 9 ,5.8%, - ,0.0%
610368, HUGHES L , Network 13 , District , Traditional , ROSELAND , 427 , - ,0.0%, 396 ,92.7%, - ,0.0%, - ,0.0%, 25 ,5.9%, 4 ,0.9%, 1 ,0.2%, 1 ,0.2%, - ,0.0%
610006, HURLEY , Network 10 , District , Traditional , WEST LAWN , 711 , 5 ,0.7%, 8 ,1.1%, - ,0.0%, 7 ,1.0%, 691 ,97.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609713, HYDE PARK HS , Network 17 , District , Traditional , WOODLAWN , 807 , - ,0.0%, 787 ,97.5%, - ,0.0%, - ,0.0%, 6 ,0.7%, 7 ,0.9%, - ,0.0%, - ,0.0%, 7 ,0.9%
610384, INFINITY HS , Network 15 , District , Traditional , SOUTH LAWNDALE , 420 , 6 ,1.4%, 17 ,4.0%, - ,0.0%, - ,0.0%, 395 ,94.0%, - ,0.0%, 1 ,0.2%, 1 ,0.2%, - ,0.0%
400104, INSTITUTO - HEALTH , Charter , Charter , Traditional , LOWER WEST SIDE , 549 , 6 ,1.1%, 17 ,3.1%, - ,0.0%, 1 ,0.2%, 524 ,95.4%, - ,0.0%, - ,0.0%, 1 ,0.2%, - ,0.0%
400164, INSTITUTO - JUSTICE HS , Options , Charter , Options , LOWER WEST SIDE , 57 , 1 ,1.8%, 1 ,1.8%, - ,0.0%, 1 ,1.8%, 53 ,93.0%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,1.8%
610078, INTER-AMERICAN , Network 4 , District , Traditional , LAKE VIEW , 641 , 65 ,10.1%, 15 ,2.3%, - ,0.0%, 1 ,0.2%, 546 ,85.2%, 11 ,1.7%, 3 ,0.5%, - ,0.0%, - ,0.0%
400162, INTRINSIC HS , Charter , Charter , Traditional , IRVING PARK , 941 , 26 ,2.8%, 30 ,3.2%, - ,0.0%, - ,0.0%, 880 ,93.5%, 2 ,0.2%, 3 ,0.3%, - ,0.0%, - ,0.0%
610121, IRVING , Network 6 , District , Traditional , NEAR WEST SIDE , 273 , 12 ,4.4%, 224 ,82.1%, - ,0.0%, - ,0.0%, 29 ,10.6%, 4 ,1.5%, 4 ,1.5%, - ,0.0%, - ,0.0%
610369, JACKSON M , Network 11 , District , Traditional , AUBURN GRESHAM , 313 , 1 ,0.3%, 303 ,96.8%, - ,0.0%, - ,0.0%, 8 ,2.6%, - ,0.0%, - ,0.0%, 1 ,0.3%, - ,0.0%
610010, JAHN , Network 4 , District , Traditional , NORTH CENTER , 316 , 99 ,31.3%, 47 ,14.9%, - ,0.0%, - ,0.0%, 143 ,45.3%, 18 ,5.7%, 7 ,2.2%, - ,0.0%, 2 ,0.6%
610011, JAMIESON , Network 2 , District , Traditional , WEST RIDGE , 806 , 192 ,23.8%, 65 ,8.1%, - ,0.0%, 5 ,0.6%, 289 ,35.9%, 19 ,2.4%, 236 ,29.3%, - ,0.0%, - ,0.0%
609783, JEFFERSON HS , Options , District , Options , NEAR WEST SIDE , 174 , 2 ,1.1%, 134 ,77.0%, - ,0.0%, 1 ,0.6%, 36 ,20.7%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.6%
610271, JENSEN , Network 5 , District , Traditional , EAST GARFIELD PARK , 253 , - ,0.0%, 249 ,98.4%, - ,0.0%, - ,0.0%, 3 ,1.2%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610274, JOHNSON , Network 5 , District , Traditional , NORTH LAWNDALE , 210 , 2 ,1.0%, 196 ,93.3%, - ,0.0%, 2 ,1.0%, 9 ,4.3%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
609678, JONES HS , Network 15 , District , Traditional , LOOP ," 1,967 ", 620 ,31.5%, 235 ,11.9%, - ,0.0%, 11 ,0.6%, 660 ,33.6%, 71 ,3.6%, 364 ,18.5%, 5 ,0.3%, 1 ,0.1%
609805, JOPLIN , Network 11 , District , Traditional , AUBURN GRESHAM , 272 , - ,0.0%, 250 ,91.9%, - ,0.0%, 1 ,0.4%, 21 ,7.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609865, JORDAN , Network 2 , District , Traditional , ROGERS PARK , 502 , 44 ,8.8%, 122 ,24.3%, - ,0.0%, 2 ,0.4%, 273 ,54.4%, 11 ,2.2%, 45 ,9.0%, 3 ,0.6%, 2 ,0.4%
609764, JUAREZ HS , Network 15 , District , Traditional , LOWER WEST SIDE ," 1,547 ", 20 ,1.3%, 30 ,1.9%, - ,0.0%, 8 ,0.5%," 1,470 ",95.0%, - ,0.0%, 14 ,0.9%, - ,0.0%, 5 ,0.3%
609762, JULIAN HS , Network 16 , District , Traditional , WASHINGTON HEIGHTS , 470 , 1 ,0.2%, 446 ,94.9%, - ,0.0%, 4 ,0.9%, 11 ,2.3%, 2 ,0.4%, - ,0.0%, 2 ,0.4%, 4 ,0.9%
610015, JUNGMAN , ISP , District , Traditional , LOWER WEST SIDE , 299 , 27 ,9.0%, 70 ,23.4%, - ,0.0%, 1 ,0.3%, 187 ,62.5%, 4 ,1.3%, 9 ,3.0%, 1 ,0.3%, - ,0.0%
609920, KANOON , Network 7 , District , Traditional , SOUTH LAWNDALE , 371 , - ,0.0%, 5 ,1.3%, - ,0.0%, - ,0.0%, 366 ,98.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610084, KELLER , Network 10 , District , Traditional , MOUNT GREENWOOD , 220 , 31 ,14.1%, 55 ,25.0%, - ,0.0%, - ,0.0%, 31 ,14.1%, 12 ,5.5%, 91 ,41.4%, - ,0.0%, - ,0.0%
609925, KELLMAN , Network 5 , District , Traditional , EAST GARFIELD PARK , 189 , - ,0.0%, 184 ,97.4%, - ,0.0%, 1 ,0.5%, 3 ,1.6%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.5%
610016, KELLOGG , Network 10 , District , Traditional , BEVERLY , 289 , 36 ,12.5%, 241 ,83.4%, - ,0.0%, - ,0.0%, 11 ,3.8%, - ,0.0%, 1 ,0.3%, - ,0.0%, - ,0.0%
609715, KELLY HS , Network 16 , District , Traditional , BRIGHTON PARK ," 1,711 ", 25 ,1.5%, 49 ,2.9%, - ,0.0%, 1 ,0.1%," 1,441 ",84.2%, 3 ,0.2%, 192 ,11.2%, - ,0.0%, - ,0.0%
609716, KELVYN PARK HS , Network 14 , District , Traditional , HERMOSA , 479 , 10 ,2.1%, 52 ,10.9%, - ,0.0%, 3 ,0.6%, 411 ,85.8%, 3 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
609718, KENNEDY HS , Network 16 , District , Traditional , GARFIELD RIDGE ," 1,601 ", 199 ,12.4%, 62 ,3.9%, - ,0.0%, 1 ,0.1%," 1,320 ",82.4%, 6 ,0.4%, 12 ,0.7%, 1 ,0.1%, - ,0.0%
609746, KENWOOD HS , Network 17 , District , Traditional , KENWOOD ," 2,298 ", 124 ,5.4%," 1,954 ",85.0%, - ,0.0%, 3 ,0.1%, 131 ,5.7%, 55 ,2.4%, 28 ,1.2%, 2 ,0.1%, 1 ,0.0%
610019, KERSHAW , Network 11 , District , Traditional , ENGLEWOOD , 210 , - ,0.0%, 204 ,97.1%, - ,0.0%, - ,0.0%, 5 ,2.4%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610022, KILMER , Network 2 , District , Traditional , ROGERS PARK , 784 , 133 ,17.0%, 201 ,25.6%, - ,0.0%, 8 ,1.0%, 318 ,40.6%, 38 ,4.8%, 76 ,9.7%, 3 ,0.4%, 7 ,0.9%
610299, KING ES , Network 11 , District , Traditional , ENGLEWOOD , 240 , 1 ,0.4%, 214 ,89.2%, - ,0.0%, - ,0.0%, 24 ,10.0%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
609751, KING HS , Network 17 , District , Traditional , KENWOOD , 704 , 6 ,0.9%, 670 ,95.2%, - ,0.0%, - ,0.0%, 17 ,2.4%, 6 ,0.9%, 3 ,0.4%, 2 ,0.3%, - ,0.0%
610026, KINZIE , ISP , District , Traditional , GARFIELD RIDGE , 673 , 105 ,15.6%, 34 ,5.1%, - ,0.0%, 1 ,0.1%, 524 ,77.9%, 6 ,0.9%, 3 ,0.4%, - ,0.0%, - ,0.0%
610027, KIPLING , ISP , District , Traditional , WASHINGTON HEIGHTS , 223 , - ,0.0%, 216 ,96.9%, - ,0.0%, 1 ,0.4%, 5 ,2.2%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
400146, KIPP - ACADEMY , Charter , Charter , Traditional , AUSTIN , 671 , 2 ,0.3%, 563 ,83.9%, - ,0.0%, 1 ,0.1%, 51 ,7.6%, 1 ,0.1%, - ,0.0%, - ,0.0%, 53 ,7.9%
400044, KIPP - ASCEND , Charter , Charter , Traditional , NORTH LAWNDALE , 945 , 1 ,0.1%, 877 ,92.8%, - ,0.0%, 1 ,0.1%, 62 ,6.6%, 4 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
400163, KIPP - BLOOM , Charter , Charter , Traditional , ENGLEWOOD , 925 , 2 ,0.2%, 851 ,92.0%, - ,0.0%, 3 ,0.3%, 22 ,2.4%, 4 ,0.4%, - ,0.0%, - ,0.0%, 43 ,4.6%
400180, KIPP - ONE , Charter , Charter , Traditional , HUMBOLDT PARK ," 1,032 ", - ,0.0%, 628 ,60.9%, - ,0.0%, 1 ,0.1%, 403 ,39.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610030, KOZMINSKI , Network 9 , District , Traditional , HYDE PARK , 255 , 10 ,3.9%, 207 ,81.2%, - ,0.0%, 1 ,0.4%, 19 ,7.5%, 1 ,0.4%, 16 ,6.3%, 1 ,0.4%, - ,0.0%
609719, LAKE VIEW HS , Network 14 , District , Traditional , LAKE VIEW ," 1,410 ", 123 ,8.7%, 183 ,13.0%, - ,0.0%, 8 ,0.6%," 1,031 ",73.1%, 21 ,1.5%, 44 ,3.1%, - ,0.0%, - ,0.0%
609720, LANE TECH HS , Network 14 , District , Traditional , NORTH CENTER ," 4,520 "," 1,645 ",36.4%, 304 ,6.7%, 1 ,0.0%, 19 ,0.4%," 1,577 ",34.9%, 171 ,3.8%, 469 ,10.4%, 27 ,0.6%, 307 ,6.8%
609869, LANGFORD , Network 11 , District , Traditional , WEST ENGLEWOOD , 179 , 1 ,0.6%, 147 ,82.1%, - ,0.0%, - ,0.0%, 30 ,16.8%, - ,0.0%, 1 ,0.6%, - ,0.0%, - ,0.0%
609993, LARA , ISP , District , Traditional , NEW CITY , 332 , 3 ,0.9%, 21 ,6.3%, - ,0.0%, 1 ,0.3%, 303 ,91.3%, 3 ,0.9%, 1 ,0.3%, - ,0.0%, - ,0.0%
610033, LASALLE , Network 4 , District , Traditional , LINCOLN PARK , 488 , 155 ,31.8%, 190 ,38.9%, - ,0.0%, - ,0.0%, 90 ,18.4%, 22 ,4.5%, 30 ,6.1%, - ,0.0%, 1 ,0.2%
610520, LASALLE II , ISP , District , Traditional , WEST TOWN , 582 , 163 ,28.0%, 115 ,19.8%, - ,0.0%, 2 ,0.3%, 245 ,42.1%, 30 ,5.2%, 24 ,4.1%, 3 ,0.5%, - ,0.0%
610208, LAVIZZO , Network 13 , District , Traditional , ROSELAND , 332 , - ,0.0%, 322 ,97.0%, - ,0.0%, 1 ,0.3%, 9 ,2.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610034, LAWNDALE , Network 5 , District , Traditional , NORTH LAWNDALE , 192 , - ,0.0%, 186 ,96.9%, - ,0.0%, - ,0.0%, 6 ,3.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400151, LEARN - 7 , Charter , Charter , Traditional , EAST GARFIELD PARK , 150 , - ,0.0%, 144 ,96.0%, - ,0.0%, 1 ,0.7%, 4 ,2.7%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.7%
400046, LEARN - BUTLER , Charter , Charter , Traditional , NORTH LAWNDALE , 464 , 1 ,0.2%, 437 ,94.2%, - ,0.0%, - ,0.0%, 9 ,1.9%, 1 ,0.2%, - ,0.0%, - ,0.0%, 16 ,3.4%
400047, LEARN - CAMPBELL , Charter , Charter , Traditional , EAST GARFIELD PARK , 359 , 1 ,0.3%, 343 ,95.5%, - ,0.0%, - ,0.0%, 15 ,4.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400048, LEARN - EXCEL , Charter , Charter , Traditional , EAST GARFIELD PARK , 402 , - ,0.0%, 386 ,96.0%, - ,0.0%, - ,0.0%, 12 ,3.0%, 3 ,0.7%, - ,0.0%, - ,0.0%, 1 ,0.2%
400165, LEARN - MIDDLE , Charter , Charter , Traditional , EAST GARFIELD PARK , 186 , - ,0.0%, 173 ,93.0%, - ,0.0%, - ,0.0%, 13 ,7.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400111, LEARN - PERKINS , Charter , Charter , Traditional , AUBURN GRESHAM , 476 , 3 ,0.6%, 461 ,96.8%, - ,0.0%, - ,0.0%, 9 ,1.9%, 1 ,0.2%, - ,0.0%, - ,0.0%, 2 ,0.4%
400107, LEARN - SOUTH CHICAGO , Charter , Charter , Traditional , SOUTH CHICAGO , 407 , 2 ,0.5%, 369 ,90.7%, - ,0.0%, 1 ,0.2%, 30 ,7.4%, - ,0.0%, - ,0.0%, 1 ,0.2%, 4 ,1.0%
